,file,line,severity,issue,snippet
509,/audit/backend/src/Controllers/ChatbotController.php,68,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Error retrieving chatbot node', ['id' => $id, 'error' => $e->getMessage()]);"
510,/audit/backend/src/Controllers/ChatbotController.php,89,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'node_id' => $node['id'],"
511,/audit/backend/src/Controllers/ChatbotController.php,90,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'content' => $node['content'],"
512,/audit/backend/src/Controllers/ChatbotController.php,134,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'reply' => $nextNode['content'] ?? ""Te he entendido: $message"","
513,/audit/backend/src/Controllers/ChatbotController.php,135,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'next_node' => $nextNode['id'] ?? 'root',"
514,/audit/backend/src/Controllers/ChatbotController.php,190,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::info('Chatbot analytics event tracked', ['event' => $event, 'data' => $data]);"
515,/audit/backend/src/Controllers/ChatbotController.php,258,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::info('Chatbot option created', ['id' => $optionId, 'node_id' => $nodeId]);"
516,/audit/backend/src/Controllers/ChatbotController.php,285,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::info('Chatbot node updated', ['id' => $id, 'data' => $data]);"
517,/audit/backend/src/Controllers/ChatbotController.php,287,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","return ResponseHelper::success(""Nodo $id actualizado"", ['success' => $success], 200);"
518,/audit/backend/src/Controllers/ChatbotController.php,289,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Error al actualizar nodo', ['id' => $id, 'error' => $e->getMessage()]);"
519,/audit/backend/src/Controllers/ChatbotController.php,310,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::info('Chatbot option updated', ['id' => $id, 'data' => $data]);"
520,/audit/backend/src/Controllers/ChatbotController.php,312,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","return ResponseHelper::success(""Opción $id actualizada"", ['success' => $success], 200);"
521,/audit/backend/src/Controllers/ChatbotController.php,314,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Error al actualizar opción', ['id' => $id, 'error' => $e->getMessage()]);"
522,/audit/backend/src/Controllers/ChatbotController.php,335,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","return ResponseHelper::success(""Nodo $id eliminado"", ['success' => $success], 204);"
523,/audit/backend/src/Controllers/ChatbotController.php,338,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Error al eliminar nodo', ['id' => $id, 'error' => $e->getMessage()]);"
524,/audit/backend/src/Controllers/ChatbotController.php,359,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","return ResponseHelper::success(""Opción $id eliminada"", ['success' => $success], 204);"
525,/audit/backend/src/Controllers/ChatbotController.php,362,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Error al eliminar opción', ['id' => $id, 'error' => $e->getMessage()]);"
526,/audit/backend/src/Controllers/DepartmentController.php,56,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Error retrieving department', ['id' => $id, 'error' => $e->getMessage()]);"
527,/audit/backend/src/Controllers/DepartmentController.php,100,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","return ResponseHelper::success(""Department $id updated"", ['success' => true], 200);"
528,/audit/backend/src/Controllers/DepartmentController.php,102,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Validation failed updating department', ['id' => $id, 'error' => $e->getMessage()]);"
529,/audit/backend/src/Controllers/DepartmentController.php,105,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Unexpected error updating department', ['id' => $id, 'error' => $e->getMessage()]);"
530,/audit/backend/src/Controllers/DepartmentController.php,124,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","return ResponseHelper::success(""Department $id deleted"", null, 204);"
531,/audit/backend/src/Controllers/DepartmentController.php,126,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Unexpected error deleting department', ['id' => $id, 'error' => $e->getMessage()]);"
532,/audit/backend/src/Controllers/HealthController.php,43,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'method' => $_SERVER['REQUEST_METHOD'] ?? 'UNKNOWN',"
533,/audit/backend/src/Controllers/HealthController.php,44,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'uri' => $_SERVER['REQUEST_URI'] ?? 'UNKNOWN',"
534,/audit/backend/src/Controllers/HealthController.php,63,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'test_query' => $result['test'] === 1 ? 'passed' : 'failed'
535,/audit/backend/src/Controllers/HealthController.php,95,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","error_log(""Critical health check error: "" . $e->getMessage() . "" in "" . $e->getFile() . "":"" . $e->getLine());"
537,/audit/backend/src/Controllers/InterviewController.php,60,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Error retrieving interview', ['id' => $id, 'error' => $e->getMessage()]);"
538,/audit/backend/src/Controllers/InterviewController.php,112,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","return ResponseHelper::success(""Entrevista $id actualizada"", ['success' => true], 200);"
539,/audit/backend/src/Controllers/InterviewController.php,114,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Validation failed updating interview', ['id' => $id, 'error' => $e->getMessage()]);"
540,/audit/backend/src/Controllers/InterviewController.php,117,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Unexpected error updating interview', ['id' => $id, 'error' => $e->getMessage()]);"
541,/audit/backend/src/Controllers/InterviewController.php,136,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","return ResponseHelper::success(""Entrevista $id eliminada"", [], 204);"
542,/audit/backend/src/Controllers/InterviewController.php,138,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Unexpected error deleting interview', ['id' => $id, 'error' => $e->getMessage()]);"
543,/audit/backend/src/Controllers/JobCategoryController.php,31,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (isset($filters['main_only']) && $filters['main_only'] == '1') {
544,/audit/backend/src/Controllers/JobCategoryController.php,66,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Error retrieving job category', ['id' => $id, 'error' => $e->getMessage()]);"
545,/audit/backend/src/Controllers/JobCategoryController.php,110,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","return ResponseHelper::success(""Categorí­a de trabajo $id actualizada"", ['success' => true], 200);"
546,/audit/backend/src/Controllers/JobCategoryController.php,112,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Validation failed updating job category', ['id' => $id, 'error' => $e->getMessage()]);"
547,/audit/backend/src/Controllers/JobCategoryController.php,115,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Unexpected error updating job category', ['id' => $id, 'error' => $e->getMessage()]);"
548,/audit/backend/src/Controllers/JobCategoryController.php,134,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","return ResponseHelper::success(""Categorí­a de trabajo $id eliminada"", [], 204);"
549,/audit/backend/src/Controllers/JobCategoryController.php,136,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Validation failed deleting job category', ['id' => $id, 'error' => $e->getMessage()]);"
550,/audit/backend/src/Controllers/JobCategoryController.php,139,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Unexpected error deleting job category', ['id' => $id, 'error' => $e->getMessage()]);"
551,/audit/backend/src/Controllers/JobController.php,47,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$page = isset($rawFilters['page']) ? max(1, (int)$rawFilters['page']) : 1;"
552,/audit/backend/src/Controllers/JobController.php,48,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$limit = isset($rawFilters['limit']) ? max(1, min(50, (int)$rawFilters['limit'])) : 20;"
553,/audit/backend/src/Controllers/JobController.php,58,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",$filters['search'] = $searchValidation['sanitized'];
554,/audit/backend/src/Controllers/JobController.php,65,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",$filters['status'] = $rawFilters['status'];
555,/audit/backend/src/Controllers/JobController.php,76,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",$filters['department_id'] = $deptIdValidation['sanitized'];
556,/audit/backend/src/Controllers/JobController.php,86,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",$filters['location'] = $locationValidation['sanitized'];
557,/audit/backend/src/Controllers/JobController.php,119,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'ip_address' => $clientIP ?? 'unknown'
558,/audit/backend/src/Controllers/JobController.php,185,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","return ResponseHelper::fail('Título inválido: ' . implode(', ', $titleValidation['errors']), 400);"
559,/audit/backend/src/Controllers/JobController.php,187,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",$validatedData['title'] = $titleValidation['sanitized'];
560,/audit/backend/src/Controllers/JobController.php,196,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","return ResponseHelper::fail('Descripción inválida: ' . implode(', ', $descValidation['errors']), 400);"
561,/audit/backend/src/Controllers/JobController.php,198,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",$validatedData['description'] = $descValidation['sanitized'];
562,/audit/backend/src/Controllers/JobController.php,207,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","return ResponseHelper::fail('ID de departamento inválido: ' . implode(', ', $deptIdValidation['errors']), 400);"
563,/audit/backend/src/Controllers/JobController.php,209,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",$validatedData['department_id'] = $deptIdValidation['sanitized'];
564,/audit/backend/src/Controllers/JobController.php,218,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",$validatedData['location'] = $locationValidation['sanitized'];
565,/audit/backend/src/Controllers/JobController.php,229,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",$validatedData['salary_min'] = $salaryMinValidation['sanitized'];
566,/audit/backend/src/Controllers/JobController.php,240,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",$validatedData['salary_max'] = $salaryMaxValidation['sanitized'];
567,/audit/backend/src/Controllers/JobController.php,250,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",$validatedData['requirements'] = $reqValidation['sanitized'];
568,/audit/backend/src/Controllers/JobController.php,255,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",$validatedData['status'] = $data['status'] ?? 'active';
569,/audit/backend/src/Controllers/JobController.php,263,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'title' => $validatedData['title'],"
570,/audit/backend/src/Controllers/JobController.php,264,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'department_id' => $validatedData['department_id']
571,/audit/backend/src/Controllers/JobController.php,273,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'title' => $validatedData['title'],"
572,/audit/backend/src/Controllers/JobController.php,282,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'title' => $validatedData['title'],"
573,/audit/backend/src/Controllers/JobController.php,289,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'title' => $validatedData['title']
574,/audit/backend/src/Controllers/JobController.php,331,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Error retrieving job', ['id' => $id, 'error' => $e->getMessage()]);"
575,/audit/backend/src/Controllers/JobController.php,359,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Validation failed updating job', ['id' => $id, 'error' => $e->getMessage()]);"
576,/audit/backend/src/Controllers/JobController.php,362,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Unexpected error updating job', ['id' => $id, 'error' => $e->getMessage()]);"
577,/audit/backend/src/Controllers/JobController.php,387,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Unexpected error deleting job', ['id' => $id, 'error' => $e->getMessage()]);"
579,/audit/backend/src/Controllers/NewsController.php,57,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Error retrieving news', ['id' => $id, 'error' => $e->getMessage()]);"
580,/audit/backend/src/Controllers/NewsController.php,101,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","return ResponseHelper::success(""Noticia $id actualizada"", ['success' => true], 200);"
581,/audit/backend/src/Controllers/NewsController.php,103,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Validation failed updating news', ['id' => $id, 'error' => $e->getMessage()]);"
582,/audit/backend/src/Controllers/NewsController.php,106,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Unexpected error updating news', ['id' => $id, 'error' => $e->getMessage()]);"
583,/audit/backend/src/Controllers/NewsController.php,126,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","return ResponseHelper::success(""Noticia $id eliminada"", [], 204);"
584,/audit/backend/src/Controllers/NewsController.php,128,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Unexpected error deleting news', ['id' => $id, 'error' => $e->getMessage()]);"
585,/audit/backend/src/Controllers/NotificationController.php,63,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Error retrieving notification', ['id' => $id, 'error' => $e->getMessage()]);"
586,/audit/backend/src/Controllers/NotificationController.php,108,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","return ResponseHelper::success(""Notificación $id actualizada"", ['success' => true], 200);"
587,/audit/backend/src/Controllers/NotificationController.php,110,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Validation failed updating notification', ['id' => $id, 'error' => $e->getMessage()]);"
588,/audit/backend/src/Controllers/NotificationController.php,113,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Unexpected error updating notification', ['id' => $id, 'error' => $e->getMessage()]);"
589,/audit/backend/src/Controllers/NotificationController.php,134,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","return ResponseHelper::success(""Notificación $id marcada como leí­da"", ['success' => true], 200);"
590,/audit/backend/src/Controllers/NotificationController.php,136,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Unexpected error marking notification as read', ['id' => $id, 'error' => $e->getMessage()]);"
591,/audit/backend/src/Controllers/NotificationController.php,156,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","return ResponseHelper::success(""Notificación $id eliminada"", [], 204);"
592,/audit/backend/src/Controllers/NotificationController.php,158,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Unexpected error deleting notification', ['id' => $id, 'error' => $e->getMessage()]);"
593,/audit/backend/src/Controllers/PDFController.php,15,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",$file = $request->file('pdf') ?? $request->file('file');
594,/audit/backend/src/Controllers/PDFController.php,22,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'filename' => $file['name'] ?? null,"
595,/audit/backend/src/Controllers/PDFController.php,23,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'size'     => $file['size'] ?? null
596,/audit/backend/src/Controllers/PDFController.php,41,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","return ResponseHelper::success(""Descarga PDF $id"", ['url' => ""/storage/pdfs/$id.pdf""]);"
597,/audit/backend/src/Controllers/RecruiterController.php,56,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Error retrieving recruiter', ['id' => $id, 'error' => $e->getMessage()]);"
598,/audit/backend/src/Controllers/RecruiterController.php,100,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","return ResponseHelper::success(""Recruiter $id updated"", ['success' => true], 200);"
599,/audit/backend/src/Controllers/RecruiterController.php,102,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Validation failed updating recruiter', ['id' => $id, 'error' => $e->getMessage()]);"
600,/audit/backend/src/Controllers/RecruiterController.php,105,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Unexpected error updating recruiter', ['id' => $id, 'error' => $e->getMessage()]);"
601,/audit/backend/src/Controllers/RecruiterController.php,124,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","return ResponseHelper::success(""Recruiter $id deleted"", null, 204);"
602,/audit/backend/src/Controllers/RecruiterController.php,126,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Unexpected error deleting recruiter', ['id' => $id, 'error' => $e->getMessage()]);"
603,/audit/backend/src/Controllers/ReportingController.php,19,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","return ResponseHelper::success(""Report for candidate $candidateId"", ["
604,/audit/backend/src/Controllers/ReportingController.php,28,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","return ResponseHelper::success(""Report for job $jobId"", ["
605,/audit/backend/src/Controllers/SkillController.php,33,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",$criteria['name'] = $filters['name'];
606,/audit/backend/src/Controllers/SkillController.php,36,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",$criteria['category'] = $filters['category'];
607,/audit/backend/src/Controllers/SkillController.php,39,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",$criteria['level'] = $filters['level'];
608,/audit/backend/src/Controllers/SkillController.php,72,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Error retrieving skill', ['id' => $id, 'error' => $e->getMessage()]);"
609,/audit/backend/src/Controllers/SkillController.php,116,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","return ResponseHelper::success(""Habilidad $id actualizada"", ['success' => true], 200);"
610,/audit/backend/src/Controllers/SkillController.php,118,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Validation failed updating skill', ['id' => $id, 'error' => $e->getMessage()]);"
611,/audit/backend/src/Controllers/SkillController.php,121,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Unexpected error updating skill', ['id' => $id, 'error' => $e->getMessage()]);"
612,/audit/backend/src/Controllers/SkillController.php,140,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","return ResponseHelper::success(""Habilidad $id eliminada"", [], 204);"
613,/audit/backend/src/Controllers/SkillController.php,142,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error('Unexpected error deleting skill', ['id' => $id, 'error' => $e->getMessage()]);"
614,/audit/backend/src/Controllers/SocialLoginController.php,66,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'ip_address' => $clientIP ?? 'unknown'
615,/audit/backend/src/Controllers/SocialLoginController.php,127,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'state' => substr($state, 0, 8) . '...' // Log parcial por seguridad"
616,/audit/backend/src/Controllers/SocialLoginController.php,135,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","ResponseHelper::success(""Redirigiendo a $provider"", ["
617,/audit/backend/src/Controllers/SocialLoginController.php,142,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'provider' => $provider ?? 'unknown',"
618,/audit/backend/src/Controllers/SocialLoginController.php,147,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'provider' => $provider ?? 'unknown',"
619,/audit/backend/src/Controllers/SocialLoginController.php,154,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'provider' => $provider ?? 'unknown',"
620,/audit/backend/src/Controllers/SocialLoginController.php,159,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'provider' => $provider ?? 'unknown',"
621,/audit/backend/src/Controllers/SocialLoginController.php,238,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'state' => substr($state, 0, 8) . '...'"
622,/audit/backend/src/Controllers/SocialLoginController.php,268,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'user_id' => $user['id'] ?? 'unknown',"
623,/audit/backend/src/Controllers/SocialLoginController.php,275,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'user_id' => $user['id'] ?? 'unknown'
624,/audit/backend/src/Controllers/SocialLoginController.php,283,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'provider' => $provider ?? 'unknown',"
625,/audit/backend/src/Controllers/SocialLoginController.php,288,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'provider' => $provider ?? 'unknown',"
626,/audit/backend/src/Controllers/SocialLoginController.php,295,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'provider' => $provider ?? 'unknown',"
627,/audit/backend/src/Controllers/SocialLoginController.php,300,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'provider' => $provider ?? 'unknown',"
628,/audit/backend/src/Controllers/SocialLoginController.php,330,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'ip_address' => $_SERVER['REMOTE_ADDR'] ?? 'unknown'
629,/audit/backend/src/Controllers/SocialLoginController.php,350,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",$frontendUrl = $_ENV['FRONTEND_URL'] ?? $_SERVER['FRONTEND_URL'] ?? 'http://localhost:3002';
